stop_name,time
上の橋,↓
上の橋,↓
上の橋,↓
上の橋,↓
上の橋,↓
上の橋,↓
若園町,↓
若園町,↓
若園町,↓
若園町,↓
若園町,↓
若園町,↓
若園町,↓
若園町,↓
若園町,↓
若園町,↓
若園町,↓
若園町,↓
若園町,↓
若園町,↓
若園町,↓
若園町,↓
若園町,↓
若園町,↓
若園町,↓
若園町,↓
若園町,↓
若園町,16:39
若園町,↓
若園町,↓
若園町,↓
若園町,↓
若園町,↓
若園町,↓
若園町,↓
若園町,↓
若園町,↓
若園町,↓
盛岡バスセンター⑮（飛島M）,↓
盛岡バスセンター⑮（飛島M）,↓
盛岡バスセンター⑮（飛島M）,↓
盛岡バスセンター⑮（飛島M）,↓
盛岡バスセンター⑮（飛島M）,↓
盛岡バスセンター⑮（飛島M）,↓
盛岡バスセンター⑮（飛島M）,↓
盛岡バスセンター⑮（飛島M）,↓
盛岡バスセンター⑮（飛島M）,↓
盛岡バスセンター⑮（飛島M）,↓
盛岡バスセンター⑮（飛島M）,↓
盛岡バスセンター⑮（飛島M）,↓
盛岡バスセンター⑮（飛島M）,↓
盛岡バスセンター⑮（飛島M）,↓
盛岡バスセンター⑮（飛島M）,↓
盛岡バスセンター⑮（飛島M）,↓
盛岡バスセンター⑮（飛島M）,↓
盛岡バスセンター⑮（飛島M）,↓
盛岡バスセンター⑮（飛島M）,↓
盛岡バスセンター⑮（飛島M）,↓
盛岡バスセンター⑮（飛島M）,↓
盛岡バスセンター⑮（飛島M）,16:40
盛岡バスセンター⑮（飛島M）,↓
盛岡バスセンター⑮（飛島M）,↓
盛岡バスセンター⑮（飛島M）,↓
盛岡バスセンター⑮（飛島M）,↓
盛岡バスセンター⑮（飛島M）,↓
盛岡バスセンター⑮（飛島M）,↓
盛岡バスセンター⑮（飛島M）,↓
盛岡バスセンター⑮（飛島M）,↓
盛岡バスセンター⑮（飛島M）,↓
盛岡バスセンター⑮（飛島M）,↓
盛岡バスセンター⑪（旧ななっく前）,↓
盛岡バスセンター⑪（旧ななっく前）,↓
盛岡バスセンター⑪（旧ななっく前）,↓
盛岡バスセンター⑪（旧ななっく前）,↓
盛岡バスセンター⑪（旧ななっく前）,↓
盛岡バスセンター⑪（旧ななっく前）,↓
盛岡バスセンター⑪（旧ななっく前）,↓
盛岡バスセンター⑪（旧ななっく前）,↓
盛岡バスセンター⑪（旧ななっく前）,↓
盛岡バスセンター⑪（旧ななっく前）,↓
盛岡バスセンター⑪（旧ななっく前）,↓
盛岡バスセンター⑪（旧ななっく前）,↓
盛岡バスセンター⑪（旧ななっく前）,↓
盛岡バスセンター⑪（旧ななっく前）,↓
盛岡バスセンター⑪（旧ななっく前）,↓
盛岡バスセンター⑪（旧ななっく前）,↓
盛岡バスセンター⑪（旧ななっく前）,↓
盛岡バスセンター⑪（旧ななっく前）,↓
盛岡バスセンター⑪（旧ななっく前）,↓
盛岡バスセンター⑪（旧ななっく前）,↓
盛岡バスセンター⑪（旧ななっく前）,↓
盛岡バスセンター⑪（旧ななっく前）,16:40
盛岡バスセンター⑪（旧ななっく前）,↓
盛岡バスセンター⑪（旧ななっく前）,↓
盛岡バスセンター⑪（旧ななっく前）,↓
盛岡バスセンター⑪（旧ななっく前）,↓
盛岡バスセンター⑪（旧ななっく前）,↓
盛岡バスセンター⑪（旧ななっく前）,↓
盛岡バスセンター⑪（旧ななっく前）,↓
盛岡バスセンター⑪（旧ななっく前）,↓
盛岡バスセンター⑪（旧ななっく前）,↓
盛岡バスセンター⑪（旧ななっく前）,↓
県庁市役所前,↓
県庁市役所前,↓
県庁市役所前,↓
県庁市役所前,↓
県庁市役所前,↓
県庁市役所前,↓
県庁市役所前,↓
県庁市役所前,↓
県庁市役所前,↓
県庁市役所前,↓
県庁市役所前,↓
県庁市役所前,↓
県庁市役所前,↓
県庁市役所前,↓
県庁市役所前,↓
県庁市役所前,↓
県庁市役所前,↓
県庁市役所前,↓
県庁市役所前,↓
県庁市役所前,↓
県庁市役所前,↓
県庁市役所前,16:43
県庁市役所前,↓
県庁市役所前,↓
県庁市役所前,↓
県庁市役所前,↓
県庁市役所前,↓
県庁市役所前,↓
県庁市役所前,↓
県庁市役所前,↓
県庁市役所前,↓
県庁市役所前,↓
中央通一丁目,↓
中央通一丁目,↓
中央通一丁目,↓
中央通一丁目,↓
中央通一丁目,↓
中央通一丁目,↓
中央通一丁目,↓
中央通一丁目,↓
中央通一丁目,↓
中央通一丁目,↓
中央通一丁目,↓
中央通一丁目,↓
中央通一丁目,↓
中央通一丁目,↓
中央通一丁目,↓
中央通一丁目,↓
中央通一丁目,↓
中央通一丁目,↓
中央通一丁目,↓
中央通一丁目,↓
中央通一丁目,↓
中央通一丁目,16:44
中央通一丁目,↓
中央通一丁目,↓
中央通一丁目,↓
中央通一丁目,↓
中央通一丁目,↓
中央通一丁目,↓
中央通一丁目,↓
